公司名称,证券代码,占基金资产净值比例(%)
震裕科技,300953,5.10367297
中坚科技,002779,4.23554316
汉威科技,300007,4.20492806
五洲新春,603667,4.19446487
肇民科技,301000,3.85727181
隆盛科技,300680,3.78864708
北特科技,603009,3.78743516
祥鑫科技,002965,3.50375806
浙江荣泰,603119,3.17937171
斯菱股份,301550,3.15904873
捷昌驱动,603583,3.07705470
斯莱克,300382,2.94169970
安培龙,301413,2.89069796
豪能股份,603809,2.82937740
美湖股份,603319,2.70839956
金沃股份,300984,2.60089851
翔楼新材,301160,2.58843940
步科股份,688160,2.51639915
雷迪克,300652,2.41938563
中大力德,002896,2.35610214
蓝黛科技,002765,2.23868153
绿的谐波,688017,2.18251268
恒工精密,301261,1.95677943
兆威机电,003021,1.92557551
龙溪股份,600592,1.76887555
禾川科技,688320,1.38375685
新时达,002527,1.13706971
丰立智能,301368,1.12125637
德昌电机控股,00179,1.02745638
双林股份,300100,0.99485741
宁波华翔,002048,0.85775260
银轮股份,002126,0.80000000
盛视科技,002990,0.58514561
同益中,688722,0.58212170
永创智能,603901,0.55064002
众辰科技,603275,0.54238510
华依科技,688071,0.53690029
中欣氟材,002915,0.52603816
新瀚新材,301076,0.52255734
南山智尚,300918,0.51945119
恒勃股份,301225,0.51665675
国茂股份,603915,0.51180492
恒而达,300946,0.50601618
恒辉安防,300952,0.48705917
日盈电子,603286,0.43510006
利和兴,301013,0.41603221
兰剑智能,688557,0.36288802
瑞迪智驱,301596,0.34618032
麦迪科技,603990,0.32813955
信测标准,300938,0.32700349
嵘泰股份,605133,0.30543169
通力科技,301255,0.28376997
金杨股份,301210,0.27954313
福达股份,603166,0.27065997
华荣股份,603855,0.24894676
唯科科技,301196,0.21579482
振江股份,603507,0.17216972
创耀科技,688259,0.15736933
中研股份,688716,0.11567280
华辰装备,300809,0.10494857
万通智控,300643,0.09884323
冠盛股份,605088,0.09802293
兆丰股份,300695,0.09749931
东土科技,300353,0.09725016
精锻科技,300258,0.09684318
德马科技,688360,0.06153098
中邮科技,688648,0.04891823
固高科技,301510,0.03488289
福莱新材,605488,0.01426532
均普智能,688306,0.01342557
影石创新,688775,0.00864386
爱柯迪,600933,0.00536486
荣泰健康,603579,0.00453965
海博思创,688411,0.00437788
华培动力,603121,0.00334162
兴福电子,688545,0.00248911
埃夫特-U,688165,0.00223491
沃尔德,688028,0.00222332
钧崴电子,301458,0.00221820
汉朔科技,301275,0.00212480
新恒汇,301678,0.00202868
思看科技,688583,0.00169800
恒鑫生活,301501,0.00156631
超研股份,301602,0.00152349
天有为,603202,0.00147326
浙江华远,301535,0.00139801
弘景光电,301479,0.00139247
胜科纳米,688757,0.00138220
赛分科技,688758,0.00122448
首航新能,301658,0.00120189
天和磁材,603072,0.00113818
惠通科技,301601,0.00109083
泰禾股份,301665,0.00107056
优优绿能,301590,0.00105882
田中精机,300461,0.00102023
富岭股份,001356,0.00094814
汉邦科技,688755,0.00085779
道通科技,688208,0.00083947
毓恬冠佳,301173,0.00073315
新亚电缆,001382,0.00071037
威高血净,603014,0.00068178
太力科技,301595,0.00066858
泽润新能,301636,0.00064873
广合科技,001389,0.00064654
众捷汽车,301560,0.00059892
泰鸿万立,603210,0.00053600
欧莱新材,688530,0.00052112
苏州固锝,002079,0.00042185
中瑞股份,301587,0.00041741
永杰新材,603271,0.00041687
江南新材,603124,0.00039141
中国瑞林,603257,0.00036754
亚联机械,001395,0.00035348
鹏翎股份,300375,0.00031988
汇通控股,603409,0.00031344
海阳科技,603382,0.00029431
华之杰,603400,0.00029344
夏厦精密,001306,0.00027964
川环科技,300547,0.00027819
信凯科技,001335,0.00027412
肯特催化,603120,0.00025501
永兴股份,601033,0.00017247
信通电子,001388,0.00014164
灿芯股份,688691,0.00011997
宏工科技,301662,0.00010860
西典新能,603312,0.00009182
百通能源,001376,0.00009059
博隆技术,603325,0.00008727
宏鑫科技,301539,0.00006155
三联锻造,001282,0.00005904
盛景微,603375,0.00005267
软通动力,301236,0.00005030
优必选,09880,0.00004941
牧原股份,002714,0.00001547
八方股份,603489,0.00001399
